333 813
Umm-al-nnaser 31.55749 34.52029
Beit-Lahia 31.55129 34.50922
Beit-Hanoun 31.53848 34.53677
Jabalia 31.529340 34.47974
Juhor-Ad-Dik 31.45166 34.43646
Al-Mughraqa 31.46830 34.41756
Nuseirat 31.45014 34.39311
Bureij 31.43879 34.40239
Maghazi 31.42188 34.38536
Deir-Al-Balah 31.41714 34.35089
Wadi-as-Salqa 31.39684 34.36527
Al-Qarara 31.37131 34.33526
Khan-Yunis 31.34620 34.30400
Gaza-City 31.50170 34.46684
Abasan-al-Kabira 31.32312 34.34402
Khuzaa 31.30702 34.36005
Al-Fukhkhari 31.29536 34.33315
An-Nasir 31.26344 34.28158
Rafah 31.29729 34.24356
Shokat-as-Sufi 31.25088 34.26577
Al-kuba 31.48813 34.46602
Al-Zahra 31.47219 34.39868
Az-Zawayda 31.43016 34.370335
S1 31.54957 34.50944
S12 31.43462 34.40040
S16 31.54818 34.51871
S17 31.54872 34.52879
S18 31.54495 34.52641
S20 31.54296 34.51408
S21 31.54687 34.50693
S22 31.54791 34.50094
S23 31.54941 34.49741
S24 31.55217 34.49481
S28 31.55533 34.49127
S29 31.55071 34.48203
S30 31.55326 34.47872
S31 31.54755 34.47516
S32 31.53952 34.48205
S33 31.53510 34.48648
S34 31.53811 34.50780
S35 31.52900 34.51470
S36 31.53200 34.51979
S37 31.53780 34.53306
S38 31.54225 34.52901
S39 31.53707 34.52216
S40 31.52441 34.51163
S41 31.52592 34.50816
S42 31.51790 34.50651
S43 31.52223 34.49570
S44 31.52823 34.48301
S45 31.52986 34.48148
S46 31.53214 34.47452
S47 31.53336 34.47301
S48 31.53953 34.46504
S49 31.54054 34.46406
S50 31.54626 34.45490
S51 31.54239 34.45130
S52 31.54115 34.45054
S53 31.53875 34.45355
S55 31.53667 34.45118
S56 31.53289 34.45557
S57 31.52577 34.46397
S58 31.52796 34.46650
S59 31.52580 34.46941
S60 31.52278 34.46668
S61 31.51653 34.46544
S62 31.51493 34.46621
S63 31.50889 34.45781
S64 31.51449 34.45081
S65 31.51962 34.44467
S66 31.51926 34.44415
S67 31.52093 34.44219
S68 31.52518 34.43950
S69 31.52799 34.43788
S70 31.53046 34.44065
S71 31.53093 34.44006
S72 31.52187 34.43233
S73 31.51867 34.43549
S74 31.51264 34.44484
S700 31.50599 34.43560
S75 31.51129 34.44735
S76 31.50671 34.45563
S77 31.50438 34.45875
S78 31.50245 34.45783
S79 31.50053 34.46060
S80 31.49714 34.45804
S82 31.50689 34.47089
S83 31.51839 34.48884
S84 31.50912 34.49954
S85 31.50411 34.49211
S86 31.49809 34.48763
S87 31.49690 34.48044
S88 31.51432 34.43145
S89 31.51668 34.42791
S90 31.50583 34.41762
S91 31.50542 34.41953
S92 31.50586 34.42012
S93 31.50498 34.42311
S94 31.50373 34.42822
S95 31.50106 34.43397
S96 31.50282 34.41456
S97 31.49990 34.41843
S98 31.49456 34.42163
S100 31.49380 34.44876
S101 31.49119 34.45260
S102 31.49812 34.47333
S104 31.48379 34.47368
S105 31.49548 34.46850
S106 31.49482 34.46728
S107 31.48781 34.46793
S108 31.49976 34.46392
S109 31.48859 34.45826
S110 31.47635 34.44660
S111 31.48595 34.46144
S112 31.48740 34.46329
S114 31.48481 34.46760
S115 31.47917 34.46684
S116 31.47103 34.45922
S117 31.47144 34.45280
S118 31.47979 34.44228
S119 31.48580 34.43225
S120 31.49541 34.44599
S121 31.49969 34.43946
S124 31.48722 34.40050
S125 31.47009 34.42103
S126 31.46721 34.42433
S127 31.46523 34.42665
S128 31.46705 34.43734
S129 31.46829 34.44124
S130 31.46217 34.43948
S131 31.45944 34.43803
S132 31.45745 34.44143
S133 31.45552 34.44212
S134 31.45740 34.44401
S135 31.45795 34.44824
S136 31.46242 34.45348
S137 31.46430 34.45705
S138 31.45133 34.43713
S139 31.45178 34.43566
S140 31.44703 34.43000
S141 31.45070 34.42381
S142 31.45705 34.41679
